channel,observable,bin_low_GeV,bin_high_GeV,raw_entries,bkg_events,source_root
resolved_prompt,mgg_GeV,49.4,49.78,62,6794859.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,49.78,50.160000000000004,50,5479725.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,50.160000000000004,50.54,63,6904453.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,50.54,50.92,66,7233237.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,50.92,51.3,56,6137292.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,51.3,51.68,58,6356481.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,51.68,52.06,52,5698914.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,52.06,52.44,57,6246886.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,52.44,52.82,50,5479725.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,52.82,53.2,53,5808508.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,53.2,53.58,53,5808508.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,53.58,53.96,60,6575670.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
